Node	Time	ActivationFactorID_UP_Reg
3	1	0
3	2	0
3	3	1
3	4	1
3	5	0
3	6	1
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	1
3	13	1
3	14	0
3	15	0
3	16	0
3	17	0
3	18	0
3	19	0
3	20	1
3	21	0
3	22	1
3	23	0
3	24	0
4	1	0
4	2	0
4	3	1
4	4	1
4	5	0
4	6	1
4	7	0
4	8	1
4	9	1
4	10	1
4	11	1
4	12	0
4	13	1
4	14	1
4	15	0
4	16	0
4	17	1
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	1
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	0
5	12	1
5	13	1
5	14	0
5	15	1
5	16	0
5	17	0
5	18	1
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	1
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	0
6	12	0
6	13	1
6	14	0
6	15	0
6	16	0
6	17	1
6	18	1
6	19	1
6	20	0
6	21	0
6	22	0
6	23	1
6	24	0
7	1	0
7	2	1
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	1
7	12	0
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	1
7	21	0
7	22	0
7	23	0
7	24	1
8	1	0
8	2	1
8	3	0
8	4	0
8	5	0
8	6	0
8	7	1
8	8	1
8	9	0
8	10	1
8	11	0
8	12	0
8	13	0
8	14	0
8	15	0
8	16	1
8	17	1
8	18	0
8	19	0
8	20	1
8	21	0
8	22	1
8	23	0
8	24	0
9	1	0
9	2	0
9	3	1
9	4	0
9	5	1
9	6	1
9	7	0
9	8	0
9	9	1
9	10	0
9	11	0
9	12	0
9	13	0
9	14	0
9	15	1
9	16	0
9	17	0
9	18	0
9	19	0
9	20	1
9	21	1
9	22	0
9	23	0
9	24	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	0
10	7	0
10	8	0
10	9	0
10	10	0
10	11	0
10	12	1
10	13	0
10	14	0
10	15	0
10	16	1
10	17	0
10	18	0
10	19	0
10	20	1
10	21	0
10	22	0
10	23	1
10	24	0
11	1	0
11	2	1
11	3	0
11	4	0
11	5	0
11	6	1
11	7	1
11	8	0
11	9	0
11	10	0
11	11	1
11	12	0
11	13	0
11	14	0
11	15	0
11	16	0
11	17	1
11	18	1
11	19	1
11	20	1
11	21	0
11	22	0
11	23	1
11	24	0
12	1	0
12	2	0
12	3	0
12	4	0
12	5	0
12	6	0
12	7	0
12	8	0
12	9	1
12	10	0
12	11	1
12	12	0
12	13	0
12	14	1
12	15	0
12	16	0
12	17	1
12	18	0
12	19	1
12	20	0
12	21	1
12	22	0
12	23	0
12	24	0
13	1	1
13	2	1
13	3	1
13	4	0
13	5	1
13	6	0
13	7	0
13	8	0
13	9	0
13	10	0
13	11	0
13	12	1
13	13	0
13	14	0
13	15	0
13	16	0
13	17	0
13	18	0
13	19	1
13	20	0
13	21	0
13	22	0
13	23	0
13	24	0
14	1	0
14	2	0
14	3	0
14	4	0
14	5	1
14	6	1
14	7	0
14	8	0
14	9	1
14	10	1
14	11	1
14	12	1
14	13	0
14	14	0
14	15	1
14	16	0
14	17	0
14	18	1
14	19	0
14	20	0
14	21	0
14	22	0
14	23	0
14	24	1
15	1	0
15	2	1
15	3	0
15	4	0
15	5	1
15	6	0
15	7	0
15	8	1
15	9	1
15	10	0
15	11	1
15	12	0
15	13	1
15	14	0
15	15	1
15	16	0
15	17	0
15	18	1
15	19	0
15	20	1
15	21	0
15	22	0
15	23	0
15	24	0
16	1	1
16	2	1
16	3	0
16	4	0
16	5	0
16	6	1
16	7	0
